City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
2,Bluff,NZ,72.81,light rain,-46.6,168.3333,Bluff Homestead - Guesthouse & Campervan Park
4,Mar Del Plata,AR,72.09,clear sky,-38.0023,-57.5575,Gran Hotel Mar del Plata
5,Kendari,ID,87.84,scattered clouds,-3.945,122.4989,Hotel Wixel
7,Bandarbeyla,SO,74.41,clear sky,9.4942,50.8122,JABIR HOTEL
8,Itarema,BR,78.62,few clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
9,Esperance,AU,73.24,overcast clouds,-33.8667,121.9,Hospitality Esperance
16,Hermanus,ZA,72.9,clear sky,-34.4187,19.2345,Misty Waves Boutique Hotel
18,Bredasdorp,ZA,70.29,scattered clouds,-34.5322,20.0403,Bredasdorp Country Manor
24,Cape Town,ZA,73.11,clear sky,-33.9258,18.4232,Southern Sun Waterfront Cape Town
28,Port-Gentil,GA,80.78,scattered clouds,-0.7193,8.7815,Fengshui Residence
29,Cidreira,BR,72.0,few clouds,-30.1811,-50.2056,Hotel Castelo
30,New Norfolk,AU,77.67,scattered clouds,-42.7826,147.0587,The Shingles Riverside Cottages
32,Butaritari,KI,79.36,light rain,3.0707,172.7902,Isles Sunset Lodge
33,Trat,TH,88.0,few clouds,12.5,102.5,สวนหนิง-อัศ
34,Busselton,AU,72.09,clear sky,-33.65,115.3333,Observatory Guest House
36,Dingle,PH,83.32,few clouds,10.9995,122.6711,SEGAYA PROPERTY
41,Alofi,NU,84.09,overcast clouds,-19.0595,-169.9187,Taloa Heights
42,Tuatapere,NZ,72.82,moderate rain,-46.1333,167.6833,Ron and Tony's Bed & Breakfast
45,Airai,TL,73.42,overcast clouds,-8.9266,125.4092,
50,Mataura,NZ,72.48,light rain,-46.1927,168.8643,Ellie's Villa
51,La Asuncion,VE,75.34,broken clouds,11.0333,-63.8628,Colinas de Matasiete
52,Port Alfred,ZA,72.63,broken clouds,-33.5906,26.891,The Halyards Hotel
53,Kapaa,US,76.98,overcast clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
55,Hilo,US,73.11,scattered clouds,19.7297,-155.09,Hilo Hawaiian Hotel
56,Puerto Plata,DO,75.11,few clouds,19.7934,-70.6884,Tropical Junior Suite All-Incl Resort Puerto Plata
60,Road Town,VG,77.09,clear sky,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
61,Rikitea,PF,77.95,overcast clouds,-23.1203,-134.9692,People ThankYou
68,Faanui,PF,81.64,few clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
69,Malpe,IN,76.3,clear sky,13.35,74.7167,Hotel Sri Krishna Residency
77,Kirakira,SB,86.7,few clouds,-10.4544,161.9205,SanBiz Lodge
78,Touros,BR,76.1,overcast clouds,-5.1989,-35.4608,INN NEW HORIZON
81,Auki,SB,84.54,few clouds,-8.7676,160.7034,Auki Motel
84,East London,ZA,70.74,overcast clouds,-33.0153,27.9116,Tu Casa
86,Hobart,AU,78.03,broken clouds,-42.8794,147.3294,Mantra on Collins Hobart
90,Port Blair,IN,82.4,broken clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
92,Vaitape,PF,81.23,light rain,-16.5167,-151.75,Conrad Bora Bora Nui
98,Pochutla,MX,76.82,clear sky,15.7432,-96.4661,Hotel Posada San Jose
99,Padang,ID,84.25,overcast clouds,-0.9492,100.3543,Mercure Padang
101,Balsas,BR,72.18,overcast clouds,-7.5325,-46.0356,Novo Hotel
103,Ambulu,ID,86.13,broken clouds,-8.345,113.6058,Hotel Ambulu Jember
104,Kimbe,PG,79.54,moderate rain,-5.5502,150.1429,Kimbe Bay Hotel
105,Broken Hill,AU,89.31,clear sky,-31.95,141.4333,Royal Exchange Hotel
106,Vaini,TO,75.85,light rain,-21.2,-175.2,Keleti Beach Resort
109,Souillac,MU,80.37,scattered clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
110,Port Lincoln,AU,71.67,clear sky,-34.7333,135.8667,Port Lincoln Hotel
113,Ambilobe,MG,76.84,light rain,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
115,Arraial Do Cabo,BR,73.02,overcast clouds,-22.9661,-42.0278,Pousada Porto Praia
118,Avarua,CK,80.65,light rain,-21.2078,-159.775,Paradise Inn
125,San Andres,CO,80.62,few clouds,12.5847,-81.7006,Hotel Arena Blanca
132,Thinadhoo,MV,81.73,overcast clouds,0.5333,72.9333,
133,Kavieng,PG,83.66,overcast clouds,-2.5744,150.7967,Nusa Island Retreat
141,Bambous Virieux,MU,80.22,scattered clouds,-20.3428,57.7575,Casa Tia Villa
143,Passi,PH,83.53,scattered clouds,11.15,122.65,Garden Pavillion
144,Bitung,ID,85.05,broken clouds,1.4451,125.1824,K2 Lembeh
145,Saint-Joseph,RE,78.21,few clouds,-21.3667,55.6167,"""Plantation Bed and Breakfast"
147,Umm Lajj,SA,70.99,clear sky,25.0213,37.2685,Moon light Furnished Units
148,Beloha,MG,76.66,overcast clouds,-25.1667,45.05,
157,Iraucuba,BR,74.08,broken clouds,-3.7461,-39.7833,Hotel Terra da Amizade
161,Hithadhoo,MV,81.81,overcast clouds,-0.6,73.0833,Scoop Guest House
172,Pangkalanbuun,ID,86.94,broken clouds,-2.6833,111.6167,Grand Kecubung Hotel
174,Puerto Ayora,EC,71.73,broken clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
176,Inongo,CD,73.49,overcast clouds,-1.95,18.2667,Hotel Du Lac
180,Carnarvon,AU,80.67,clear sky,-24.8667,113.6333,Hospitality Carnarvon
181,Kailua,US,76.98,scattered clouds,21.4022,-157.7394,Sheffield House Bed & Breakfast
182,Atuona,PF,79.0,scattered clouds,-9.8,-139.0333,Villa Enata
185,Belmonte,BR,79.3,overcast clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
186,Makakilo City,US,75.52,clear sky,21.3469,-158.0858,Marriott's Ko Olina Beach Club
